002014.SZ,永新股份,9.97,-0.3,a股
002019.SZ,亿帆医药,19.5,-0.256,a股
002020.SZ,京新药业,10.55,0.285,a股
002021.SZ,ST中捷,1.69,3.049,a股
002022.SZ,科华生物,16.94,-0.587,a股
002023.SZ,海特高新,15.52,1.438,a股
002024.SZ,苏宁易购,7.54,1.208,a股
002025.SZ,航天电器,58.55,3.775,a股
002026.SZ,山东威达,11.34,5,a股
002027.SZ,分众传媒,9.6,-1.841,a股
002028.SZ,思源电气,20.73,-1.847,a股
002029.SZ,七匹狼,5.3,1.145,a股
002030.SZ,达安基因,35.63,4.825,a股
002031.SZ,巨轮智能,1.99,2.577,a股
002032.SZ,苏泊尔,72.45,0.485,a股
002033.SZ,丽江股份,6.2,1.142,a股
002034.SZ,旺能环境,14.78,4.305,a股
002035.SZ,华帝股份,8.95,0.224,a股
002036.SZ,联创电子,10.24,-0.195,a股
002037.SZ,保利联合,6.57,0.767,a股
002038.SZ,双鹭药业,10.11,0.298,a股
002039.SZ,黔源电力,15.89,4.54,a股
002042.SZ,华孚时尚,4.36,0.461,a股
002040.SZ,南京港,6.37,2.577,a股
002041.SZ,登海种业,21.88,-0.726,a股
002044.SZ,美年健康,11.05,1.469,a股
002045.SZ,国光电器,8.28,-0.121,a股
002048.SZ,宁波华翔,15.43,-0.065,a股
002047.SZ,宝鹰股份,3.92,-4.623,a股
002046.SZ,国机精工,10.29,10.054,a股
002050.SZ,三花智控,25.05,2.622,a股
002051.SZ,中工国际,7.26,2.542,a股
002052.SZ,*ST同洲,1.07,0.943,a股
002053.SZ,云南能投,7.48,3.745,a股
002057.SZ,中钢天源,7.29,1.816,a股
002056.SZ,横店东磁,15.3,4.508,a股
002054.SZ,德美化工,8.3,-1.191,a股
002058.SZ,威尔泰,13.17,0.997,a股
002059.SZ,云南旅游,4.55,1.111,a股
002064.SZ,华峰氨纶,9.75,2.309,a股
002061.SZ,浙江交科,5.2,0.386,a股
002063.SZ,远光软件,8.78,-0.227,a股
002062.SZ,宏润建设,4.23,0.475,a股
002060.SZ,粤水电,3.33,3.738,a股
002065.SZ,东华软件,7.93,-0.126,a股
002067.SZ,景兴纸业,3.48,3.571,a股
002068.SZ,黑猫股份,6.12,0.328,a股
002066.SZ,瑞泰科技,9.11,0,a股
002072.SZ,ST凯瑞,4.44,3.256,a股
002069.SZ,獐子岛,4.3,-3.587,a股
002071.SZ,*ST长城,1.06,-1.852,a股
002073.SZ,软控股份,4.53,2.027,a股
002075.SZ,沙钢股份,11.15,-0.889,a股
002074.SZ,国轩高科,37.5,3.648,a股
002076.SZ,*ST雪莱,1.65,5.096,a股
002077.SZ,*ST大港,6.85,0.735,a股
